"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,1,162,183,21,4,"entre 7 y 14 dias","menor a 7 dias"
"2",2,5,304,371,67,10,"mayor a 14 dias","entre 7 y 14 dias"
"3",3,3,637,291,346,6,"entre 7 y 14 dias","mayor a 14 dias"
"4",4,4,604,246,357,16,"entre 7 y 14 dias","mayor a 14 dias"
"5",5,6,130,195,65,7,"entre 7 y 14 dias","menor a 7 dias"
"6",6,2,520,267,253,13,"entre 7 y 14 dias","mayor a 14 dias"
"7",7,3,199,86,113,7,"menor a 7 dias","entre 7 y 14 dias"
"8",8,1,443,195,248,13,"entre 7 y 14 dias","mayor a 14 dias"
"9",9,6,257,417,160,7,"mayor a 14 dias","entre 7 y 14 dias"
"10",10,3,89,519,430,7,"mayor a 14 dias","menor a 7 dias"
"11",11,1,282,78,204,3,"menor a 7 dias","entre 7 y 14 dias"
"12",12,6,222,520,298,4,"mayor a 14 dias","entre 7 y 14 dias"
"13",13,4,159,74,85,6,"menor a 7 dias","menor a 7 dias"
"14",14,6,214,32,182,16,"menor a 7 dias","entre 7 y 14 dias"
"15",15,1,185,62,123,8,"menor a 7 dias","entre 7 y 14 dias"
"16",16,6,462,44,418,16,"menor a 7 dias","mayor a 14 dias"
"17",17,3,556,25,531,2,"menor a 7 dias","mayor a 14 dias"
"18",18,5,420,194,226,7,"entre 7 y 14 dias","mayor a 14 dias"
"19",19,3,525,130,396,4,"menor a 7 dias","mayor a 14 dias"
"20",20,3,51,6,45,9,"menor a 7 dias","menor a 7 dias"
"21",21,2,102,469,368,4,"mayor a 14 dias","menor a 7 dias"
"22",22,2,627,49,578,10,"menor a 7 dias","mayor a 14 dias"
"23",23,2,521,128,393,10,"menor a 7 dias","mayor a 14 dias"
"24",24,2,532,855,323,3,"mayor a 14 dias","mayor a 14 dias"
"25",25,1,202,400,198,16,"mayor a 14 dias","entre 7 y 14 dias"
