"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,2,273,31,243,13,"menor a 7 dias","entre 7 y 14 dias"
"2",2,2,685,14,672,14,"menor a 7 dias","mayor a 14 dias"
"3",3,2,117,237,120,16,"entre 7 y 14 dias","menor a 7 dias"
"4",4,3,174,29,146,9,"menor a 7 dias","entre 7 y 14 dias"
"5",5,2,165,358,193,6,"mayor a 14 dias","menor a 7 dias"
"6",6,3,277,213,64,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"7",7,6,171,148,23,9,"menor a 7 dias","entre 7 y 14 dias"
"8",8,3,75,441,367,9,"mayor a 14 dias","menor a 7 dias"
"9",9,3,285,99,186,9,"menor a 7 dias","entre 7 y 14 dias"
"10",10,2,96,4,92,8,"menor a 7 dias","menor a 7 dias"
"11",11,2,90,374,284,8,"mayor a 14 dias","menor a 7 dias"
"12",12,2,548,136,412,8,"menor a 7 dias","mayor a 14 dias"
"13",13,1,176,896,720,7,"mayor a 14 dias","entre 7 y 14 dias"
"14",14,3,61,161,100,9,"menor a 7 dias","menor a 7 dias"
"15",15,2,311,81,230,4,"menor a 7 dias","entre 7 y 14 dias"
"16",16,5,171,5,166,2,"menor a 7 dias","entre 7 y 14 dias"
"17",17,3,168,115,53,15,"menor a 7 dias","entre 7 y 14 dias"
"18",18,5,179,120,59,15,"menor a 7 dias","entre 7 y 14 dias"
"19",19,2,147,227,80,6,"entre 7 y 14 dias","menor a 7 dias"
"20",20,1,142,638,496,10,"mayor a 14 dias","menor a 7 dias"
"21",21,3,144,364,220,4,"mayor a 14 dias","menor a 7 dias"
"22",22,1,106,157,50,4,"menor a 7 dias","menor a 7 dias"
"23",23,2,232,394,162,8,"mayor a 14 dias","entre 7 y 14 dias"
"24",24,5,291,437,146,9,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,3,445,6,440,9,"menor a 7 dias","mayor a 14 dias"
"26",26,2,295,1,294,16,"menor a 7 dias","entre 7 y 14 dias"
"27",27,5,495,155,340,8,"menor a 7 dias","mayor a 14 dias"
"28",28,3,124,31,93,6,"menor a 7 dias","menor a 7 dias"
"29",29,2,321,233,88,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"30",30,5,93,122,29,1,"menor a 7 dias","menor a 7 dias"
"31",31,1,116,113,3,2,"menor a 7 dias","menor a 7 dias"
"32",32,4,244,47,197,8,"menor a 7 dias","entre 7 y 14 dias"
"33",33,3,258,10,248,8,"menor a 7 dias","entre 7 y 14 dias"
"34",34,3,136,1097,961,8,"mayor a 14 dias","menor a 7 dias"
"35",35,2,171,616,445,4,"mayor a 14 dias","entre 7 y 14 dias"
"36",36,3,76,54,22,1,"menor a 7 dias","menor a 7 dias"
"37",37,2,69,16,53,9,"menor a 7 dias","menor a 7 dias"
"38",38,1,263,670,407,8,"mayor a 14 dias","entre 7 y 14 dias"
"39",39,1,122,103,19,6,"menor a 7 dias","menor a 7 dias"
"40",40,2,308,324,17,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"41",41,5,342,29,314,8,"menor a 7 dias","mayor a 14 dias"
"42",42,4,195,329,135,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"43",43,1,171,545,374,10,"mayor a 14 dias","entre 7 y 14 dias"
"44",44,2,124,110,14,10,"menor a 7 dias","menor a 7 dias"
"45",45,4,253,757,504,12,"mayor a 14 dias","entre 7 y 14 dias"
"46",46,1,401,0,400,4,"menor a 7 dias","mayor a 14 dias"
"47",47,2,364,54,310,16,"menor a 7 dias","mayor a 14 dias"
"48",48,2,349,59,290,4,"menor a 7 dias","mayor a 14 dias"
"49",49,2,261,232,29,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"50",50,1,141,446,305,9,"mayor a 14 dias","menor a 7 dias"
