"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,1,351,584,233,15,"mayor a 14 dias","mayor a 14 dias"
"2",2,2,46,163,117,8,"menor a 7 dias","menor a 7 dias"
"3",3,2,232,232,0,13,"entre 7 y 14 dias","entre 7 y 14 dias"
"4",4,3,267,194,73,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"5",5,3,169,0,169,8,"menor a 7 dias","entre 7 y 14 dias"
"6",6,1,95,287,192,14,"entre 7 y 14 dias","menor a 7 dias"
"7",7,3,572,210,362,10,"entre 7 y 14 dias","mayor a 14 dias"
"8",8,5,368,102,266,10,"menor a 7 dias","mayor a 14 dias"
"9",9,4,400,187,213,4,"entre 7 y 14 dias","mayor a 14 dias"
"10",10,2,202,148,54,9,"menor a 7 dias","entre 7 y 14 dias"
"11",11,2,386,90,297,8,"menor a 7 dias","mayor a 14 dias"
"12",12,3,123,375,252,16,"mayor a 14 dias","menor a 7 dias"
"13",13,1,317,251,67,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"14",14,2,96,379,283,7,"mayor a 14 dias","menor a 7 dias"
"15",15,2,88,98,9,10,"menor a 7 dias","menor a 7 dias"
"16",16,3,451,144,307,4,"menor a 7 dias","mayor a 14 dias"
"17",17,5,359,4,355,5,"menor a 7 dias","mayor a 14 dias"
"18",18,4,206,413,208,10,"mayor a 14 dias","entre 7 y 14 dias"
"19",19,1,545,35,511,4,"menor a 7 dias","mayor a 14 dias"
"20",20,4,334,431,96,10,"mayor a 14 dias","entre 7 y 14 dias"
"21",21,4,288,80,208,7,"menor a 7 dias","entre 7 y 14 dias"
"22",22,2,411,309,101,7,"entre 7 y 14 dias","mayor a 14 dias"
"23",23,2,191,129,62,14,"menor a 7 dias","entre 7 y 14 dias"
"24",24,1,307,340,33,1,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,3,109,582,473,8,"mayor a 14 dias","menor a 7 dias"
"26",26,6,113,132,19,2,"menor a 7 dias","menor a 7 dias"
"27",27,2,364,37,328,7,"menor a 7 dias","mayor a 14 dias"
"28",28,6,826,372,454,13,"mayor a 14 dias","mayor a 14 dias"
"29",29,1,351,275,76,4,"entre 7 y 14 dias","mayor a 14 dias"
"30",30,3,89,24,65,7,"menor a 7 dias","menor a 7 dias"
"31",31,5,409,192,217,4,"entre 7 y 14 dias","mayor a 14 dias"
"32",32,5,661,55,606,15,"menor a 7 dias","mayor a 14 dias"
"33",33,1,240,210,30,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"34",34,1,258,8,249,5,"menor a 7 dias","entre 7 y 14 dias"
"35",35,6,120,896,776,5,"mayor a 14 dias","menor a 7 dias"
"36",36,4,224,41,183,10,"menor a 7 dias","entre 7 y 14 dias"
"37",37,3,61,152,90,6,"menor a 7 dias","menor a 7 dias"
"38",38,4,546,74,472,4,"menor a 7 dias","mayor a 14 dias"
"39",39,3,469,607,138,10,"mayor a 14 dias","mayor a 14 dias"
"40",40,2,145,284,139,16,"entre 7 y 14 dias","menor a 7 dias"
"41",41,3,96,289,192,4,"entre 7 y 14 dias","menor a 7 dias"
"42",42,6,220,65,155,7,"menor a 7 dias","entre 7 y 14 dias"
"43",43,4,255,90,165,7,"menor a 7 dias","entre 7 y 14 dias"
"44",44,5,237,355,118,10,"mayor a 14 dias","entre 7 y 14 dias"
"45",45,3,266,182,84,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"46",46,4,79,180,101,4,"entre 7 y 14 dias","menor a 7 dias"
"47",47,1,283,175,108,9,"entre 7 y 14 dias","entre 7 y 14 dias"
"48",48,2,104,141,37,10,"menor a 7 dias","menor a 7 dias"
"49",49,6,191,165,27,3,"menor a 7 dias","entre 7 y 14 dias"
"50",50,3,592,5,587,7,"menor a 7 dias","mayor a 14 dias"
