"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,4,283,385,102,12,"mayor a 14 dias","entre 7 y 14 dias"
"2",2,3,240,226,14,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"3",3,3,158,292,134,9,"entre 7 y 14 dias","menor a 7 dias"
"4",4,4,517,73,444,10,"menor a 7 dias","mayor a 14 dias"
"5",5,2,667,281,386,6,"entre 7 y 14 dias","mayor a 14 dias"
"6",6,2,370,175,195,6,"entre 7 y 14 dias","mayor a 14 dias"
"7",7,3,259,336,77,14,"entre 7 y 14 dias","entre 7 y 14 dias"
"8",8,4,549,62,487,9,"menor a 7 dias","mayor a 14 dias"
"9",9,1,282,11,272,5,"menor a 7 dias","entre 7 y 14 dias"
"10",10,3,112,419,307,4,"mayor a 14 dias","menor a 7 dias"
"11",11,5,253,276,23,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"12",12,2,219,418,199,13,"mayor a 14 dias","entre 7 y 14 dias"
"13",13,1,105,59,46,4,"menor a 7 dias","menor a 7 dias"
"14",14,5,337,296,41,1,"entre 7 y 14 dias","mayor a 14 dias"
"15",15,5,217,190,28,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"16",16,4,101,182,82,10,"entre 7 y 14 dias","menor a 7 dias"
"17",17,3,126,468,343,16,"mayor a 14 dias","menor a 7 dias"
"18",18,4,145,443,298,3,"mayor a 14 dias","menor a 7 dias"
"19",19,2,435,604,169,10,"mayor a 14 dias","mayor a 14 dias"
"20",20,1,108,454,347,7,"mayor a 14 dias","menor a 7 dias"
"21",21,2,197,95,102,5,"menor a 7 dias","entre 7 y 14 dias"
"22",22,1,516,661,145,8,"mayor a 14 dias","mayor a 14 dias"
"23",23,3,160,478,318,5,"mayor a 14 dias","menor a 7 dias"
"24",24,1,161,733,571,8,"mayor a 14 dias","menor a 7 dias"
"25",25,6,217,447,230,10,"mayor a 14 dias","entre 7 y 14 dias"
"26",26,2,293,161,132,10,"menor a 7 dias","entre 7 y 14 dias"
"27",27,2,88,370,282,5,"mayor a 14 dias","menor a 7 dias"
"28",28,5,395,158,237,9,"menor a 7 dias","mayor a 14 dias"
"29",29,6,116,73,43,7,"menor a 7 dias","menor a 7 dias"
"30",30,1,632,641,8,4,"mayor a 14 dias","mayor a 14 dias"
"31",31,3,194,40,155,10,"menor a 7 dias","entre 7 y 14 dias"
"32",32,3,143,141,2,4,"menor a 7 dias","menor a 7 dias"
"33",33,3,103,356,253,4,"mayor a 14 dias","menor a 7 dias"
"34",34,3,140,39,102,10,"menor a 7 dias","menor a 7 dias"
"35",35,2,61,396,335,5,"mayor a 14 dias","menor a 7 dias"
"36",36,2,92,181,89,7,"entre 7 y 14 dias","menor a 7 dias"
"37",37,1,293,1200,908,16,"mayor a 14 dias","entre 7 y 14 dias"
"38",38,5,132,1143,1011,4,"mayor a 14 dias","menor a 7 dias"
"39",39,3,95,552,457,5,"mayor a 14 dias","menor a 7 dias"
"40",40,3,208,402,193,16,"mayor a 14 dias","entre 7 y 14 dias"
"41",41,4,77,94,17,12,"menor a 7 dias","menor a 7 dias"
"42",42,2,273,28,245,9,"menor a 7 dias","entre 7 y 14 dias"
"43",43,1,133,40,93,11,"menor a 7 dias","menor a 7 dias"
"44",44,2,236,204,32,4,"entre 7 y 14 dias","entre 7 y 14 dias"
"45",45,1,278,23,254,16,"menor a 7 dias","entre 7 y 14 dias"
"46",46,1,517,262,256,10,"entre 7 y 14 dias","mayor a 14 dias"
"47",47,6,325,21,304,3,"menor a 7 dias","entre 7 y 14 dias"
"48",48,6,52,45,7,2,"menor a 7 dias","menor a 7 dias"
"49",49,2,376,209,166,5,"entre 7 y 14 dias","mayor a 14 dias"
"50",50,5,235,898,663,10,"mayor a 14 dias","entre 7 y 14 dias"
"51",51,1,440,134,306,16,"menor a 7 dias","mayor a 14 dias"
"52",52,4,72,670,598,10,"mayor a 14 dias","menor a 7 dias"
"53",53,3,162,8,154,7,"menor a 7 dias","menor a 7 dias"
"54",54,2,525,335,190,4,"entre 7 y 14 dias","mayor a 14 dias"
"55",55,2,379,491,113,10,"mayor a 14 dias","mayor a 14 dias"
"56",56,4,199,886,688,13,"mayor a 14 dias","entre 7 y 14 dias"
"57",57,3,291,10,281,10,"menor a 7 dias","entre 7 y 14 dias"
"58",58,5,355,992,637,15,"mayor a 14 dias","mayor a 14 dias"
"59",59,5,235,16,220,2,"menor a 7 dias","entre 7 y 14 dias"
"60",60,4,745,784,39,7,"mayor a 14 dias","mayor a 14 dias"
"61",61,4,421,10,411,12,"menor a 7 dias","mayor a 14 dias"
"62",62,3,332,54,277,12,"menor a 7 dias","entre 7 y 14 dias"
"63",63,3,102,13,89,4,"menor a 7 dias","menor a 7 dias"
"64",64,3,374,223,151,1,"entre 7 y 14 dias","mayor a 14 dias"
"65",65,1,194,63,131,7,"menor a 7 dias","entre 7 y 14 dias"
"66",66,1,254,990,736,14,"mayor a 14 dias","entre 7 y 14 dias"
"67",67,6,96,166,70,12,"menor a 7 dias","menor a 7 dias"
"68",68,1,167,20,147,7,"menor a 7 dias","menor a 7 dias"
"69",69,5,209,77,131,16,"menor a 7 dias","entre 7 y 14 dias"
"70",70,3,201,60,141,1,"menor a 7 dias","entre 7 y 14 dias"
"71",71,3,130,186,56,15,"entre 7 y 14 dias","menor a 7 dias"
"72",72,1,290,453,163,8,"mayor a 14 dias","entre 7 y 14 dias"
"73",73,2,352,78,273,6,"menor a 7 dias","mayor a 14 dias"
"74",74,3,319,162,157,4,"menor a 7 dias","entre 7 y 14 dias"
"75",75,6,373,49,324,4,"menor a 7 dias","mayor a 14 dias"
"76",76,4,114,1176,1062,10,"mayor a 14 dias","menor a 7 dias"
"77",77,6,53,91,38,1,"menor a 7 dias","menor a 7 dias"
"78",78,1,196,405,209,6,"mayor a 14 dias","entre 7 y 14 dias"
"79",79,3,69,324,255,10,"entre 7 y 14 dias","menor a 7 dias"
"80",80,1,65,349,284,4,"mayor a 14 dias","menor a 7 dias"
"81",81,1,211,234,23,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"82",82,3,29,110,81,16,"menor a 7 dias","menor a 7 dias"
"83",83,5,293,111,182,4,"menor a 7 dias","entre 7 y 14 dias"
"84",84,1,323,32,291,1,"menor a 7 dias","entre 7 y 14 dias"
"85",85,5,353,538,185,12,"mayor a 14 dias","mayor a 14 dias"
"86",86,5,352,600,248,13,"mayor a 14 dias","mayor a 14 dias"
"87",87,3,218,85,133,10,"menor a 7 dias","entre 7 y 14 dias"
"88",88,6,222,45,176,15,"menor a 7 dias","entre 7 y 14 dias"
"89",89,2,328,48,280,16,"menor a 7 dias","entre 7 y 14 dias"
"90",90,6,100,164,64,14,"menor a 7 dias","menor a 7 dias"
"91",91,2,395,73,323,4,"menor a 7 dias","mayor a 14 dias"
"92",92,3,38,501,462,8,"mayor a 14 dias","menor a 7 dias"
"93",93,4,224,215,9,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"94",94,1,136,49,87,4,"menor a 7 dias","menor a 7 dias"
"95",95,3,175,102,72,6,"menor a 7 dias","entre 7 y 14 dias"
"96",96,1,334,485,151,7,"mayor a 14 dias","entre 7 y 14 dias"
"97",97,4,215,317,102,8,"entre 7 y 14 dias","entre 7 y 14 dias"
"98",98,2,48,508,460,5,"mayor a 14 dias","menor a 7 dias"
"99",99,3,147,329,183,6,"entre 7 y 14 dias","menor a 7 dias"
"100",100,1,497,72,424,7,"menor a 7 dias","mayor a 14 dias"
"101",101,1,222,113,109,1,"menor a 7 dias","entre 7 y 14 dias"
"102",102,5,98,16,83,1,"menor a 7 dias","menor a 7 dias"
"103",103,2,229,671,443,9,"mayor a 14 dias","entre 7 y 14 dias"
"104",104,2,640,179,461,9,"entre 7 y 14 dias","mayor a 14 dias"
"105",105,3,170,384,214,16,"mayor a 14 dias","entre 7 y 14 dias"
"106",106,2,289,406,117,5,"mayor a 14 dias","entre 7 y 14 dias"
"107",107,1,215,524,309,6,"mayor a 14 dias","entre 7 y 14 dias"
"108",108,6,290,280,10,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"109",109,1,319,280,39,15,"entre 7 y 14 dias","entre 7 y 14 dias"
"110",110,1,325,145,180,2,"menor a 7 dias","entre 7 y 14 dias"
"111",111,1,245,24,221,8,"menor a 7 dias","entre 7 y 14 dias"
"112",112,5,146,801,655,6,"mayor a 14 dias","menor a 7 dias"
"113",113,4,207,146,60,6,"menor a 7 dias","entre 7 y 14 dias"
"114",114,4,68,42,26,1,"menor a 7 dias","menor a 7 dias"
"115",115,1,610,195,415,16,"entre 7 y 14 dias","mayor a 14 dias"
"116",116,2,121,136,15,5,"menor a 7 dias","menor a 7 dias"
"117",117,2,85,261,176,13,"entre 7 y 14 dias","menor a 7 dias"
"118",118,3,214,119,95,10,"menor a 7 dias","entre 7 y 14 dias"
