"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,2,180,48,132,5,"menor a 7 dias","entre 7 y 14 dias"
"2",2,4,97,67,29,9,"menor a 7 dias","menor a 7 dias"
"3",3,3,357,501,144,13,"mayor a 14 dias","mayor a 14 dias"
"4",4,2,200,553,353,5,"mayor a 14 dias","entre 7 y 14 dias"
"5",5,3,390,167,223,8,"menor a 7 dias","mayor a 14 dias"
"6",6,2,559,45,514,10,"menor a 7 dias","mayor a 14 dias"
"7",7,3,510,288,222,7,"entre 7 y 14 dias","mayor a 14 dias"
"8",8,2,150,270,120,8,"entre 7 y 14 dias","menor a 7 dias"
"9",9,2,328,386,58,16,"mayor a 14 dias","entre 7 y 14 dias"
"10",10,4,151,190,40,16,"entre 7 y 14 dias","menor a 7 dias"
"11",11,2,214,180,34,7,"entre 7 y 14 dias","entre 7 y 14 dias"
"12",12,6,178,119,58,7,"menor a 7 dias","entre 7 y 14 dias"
"13",13,5,127,75,52,7,"menor a 7 dias","menor a 7 dias"
"14",14,3,296,117,179,4,"menor a 7 dias","entre 7 y 14 dias"
"15",15,2,264,141,122,9,"menor a 7 dias","entre 7 y 14 dias"
"16",16,3,145,205,60,4,"entre 7 y 14 dias","menor a 7 dias"
"17",17,3,262,361,99,4,"mayor a 14 dias","entre 7 y 14 dias"
"18",18,3,188,13,175,4,"menor a 7 dias","entre 7 y 14 dias"
"19",19,1,424,656,232,15,"mayor a 14 dias","mayor a 14 dias"
"20",20,1,339,380,41,16,"mayor a 14 dias","mayor a 14 dias"
"21",21,5,335,217,119,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"22",22,1,301,131,170,6,"menor a 7 dias","entre 7 y 14 dias"
"23",23,3,201,72,128,5,"menor a 7 dias","entre 7 y 14 dias"
"24",24,3,229,492,263,11,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,1,462,111,352,4,"menor a 7 dias","mayor a 14 dias"
"26",26,5,130,258,128,5,"entre 7 y 14 dias","menor a 7 dias"
"27",27,5,218,442,223,5,"mayor a 14 dias","entre 7 y 14 dias"
"28",28,2,202,250,48,9,"entre 7 y 14 dias","entre 7 y 14 dias"
"29",29,2,250,65,184,7,"menor a 7 dias","entre 7 y 14 dias"
"30",30,2,354,305,49,7,"entre 7 y 14 dias","mayor a 14 dias"
"31",31,3,236,905,669,7,"mayor a 14 dias","entre 7 y 14 dias"
"32",32,3,498,314,184,5,"entre 7 y 14 dias","mayor a 14 dias"
"33",33,2,384,116,268,10,"menor a 7 dias","mayor a 14 dias"
"34",34,5,170,73,96,10,"menor a 7 dias","entre 7 y 14 dias"
"35",35,5,532,238,294,1,"entre 7 y 14 dias","mayor a 14 dias"
"36",36,3,607,648,42,4,"mayor a 14 dias","mayor a 14 dias"
"37",37,4,137,148,10,16,"menor a 7 dias","menor a 7 dias"
"38",38,2,200,1033,833,8,"mayor a 14 dias","entre 7 y 14 dias"
"39",39,5,291,406,115,16,"mayor a 14 dias","entre 7 y 14 dias"
"40",40,6,175,736,561,10,"mayor a 14 dias","entre 7 y 14 dias"
"41",41,1,205,252,47,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"42",42,1,256,577,322,4,"mayor a 14 dias","entre 7 y 14 dias"
"43",43,3,574,366,208,10,"mayor a 14 dias","mayor a 14 dias"
"44",44,1,423,364,58,10,"mayor a 14 dias","mayor a 14 dias"
"45",45,6,144,26,118,15,"menor a 7 dias","menor a 7 dias"
"46",46,4,339,449,109,10,"mayor a 14 dias","mayor a 14 dias"
"47",47,2,342,179,163,4,"entre 7 y 14 dias","mayor a 14 dias"
"48",48,1,194,598,404,4,"mayor a 14 dias","entre 7 y 14 dias"
"49",49,2,159,491,332,11,"mayor a 14 dias","menor a 7 dias"
