"","idnum","Sitio","Pred","Real","Error","NaveDescarga","RealDisc","PredDisc"
"1",1,3,453,228,225,10,"entre 7 y 14 dias","mayor a 14 dias"
"2",2,1,162,329,167,16,"entre 7 y 14 dias","menor a 7 dias"
"3",3,1,312,713,401,8,"mayor a 14 dias","entre 7 y 14 dias"
"4",4,1,550,261,288,4,"entre 7 y 14 dias","mayor a 14 dias"
"5",5,5,143,1314,1171,4,"mayor a 14 dias","menor a 7 dias"
"6",6,1,125,62,63,16,"menor a 7 dias","menor a 7 dias"
"7",7,2,354,161,193,3,"menor a 7 dias","mayor a 14 dias"
"8",8,5,199,237,39,16,"entre 7 y 14 dias","entre 7 y 14 dias"
"9",9,4,359,470,111,9,"mayor a 14 dias","mayor a 14 dias"
"10",10,6,197,540,343,1,"mayor a 14 dias","entre 7 y 14 dias"
"11",11,1,163,190,28,10,"entre 7 y 14 dias","menor a 7 dias"
"12",12,2,256,126,130,8,"menor a 7 dias","entre 7 y 14 dias"
"13",13,5,47,162,115,10,"menor a 7 dias","menor a 7 dias"
"14",14,3,251,76,174,7,"menor a 7 dias","entre 7 y 14 dias"
"15",15,3,399,123,276,3,"menor a 7 dias","mayor a 14 dias"
"16",16,6,188,674,486,14,"mayor a 14 dias","entre 7 y 14 dias"
"17",17,6,548,538,11,8,"mayor a 14 dias","mayor a 14 dias"
"18",18,3,71,104,33,10,"menor a 7 dias","menor a 7 dias"
"19",19,1,251,492,241,1,"mayor a 14 dias","entre 7 y 14 dias"
"20",20,3,367,165,202,6,"menor a 7 dias","mayor a 14 dias"
"21",21,2,289,2,287,4,"menor a 7 dias","entre 7 y 14 dias"
"22",22,3,336,3,333,11,"menor a 7 dias","entre 7 y 14 dias"
"23",23,3,122,195,72,2,"entre 7 y 14 dias","menor a 7 dias"
"24",24,3,305,471,165,10,"mayor a 14 dias","entre 7 y 14 dias"
"25",25,3,189,333,144,2,"entre 7 y 14 dias","entre 7 y 14 dias"
"26",26,3,335,549,214,4,"mayor a 14 dias","entre 7 y 14 dias"
"27",27,5,355,165,190,4,"menor a 7 dias","mayor a 14 dias"
"28",28,3,175,102,74,15,"menor a 7 dias","entre 7 y 14 dias"
"29",29,2,268,6,263,7,"menor a 7 dias","entre 7 y 14 dias"
"30",30,3,96,489,393,10,"mayor a 14 dias","menor a 7 dias"
"31",31,3,670,1335,665,4,"mayor a 14 dias","mayor a 14 dias"
"32",32,1,384,111,273,10,"menor a 7 dias","mayor a 14 dias"
"33",33,6,381,313,67,15,"entre 7 y 14 dias","mayor a 14 dias"
"34",34,3,52,827,775,7,"mayor a 14 dias","menor a 7 dias"
"35",35,3,202,317,116,10,"entre 7 y 14 dias","entre 7 y 14 dias"
"36",36,6,166,129,37,5,"menor a 7 dias","menor a 7 dias"
"37",37,3,281,635,353,6,"mayor a 14 dias","entre 7 y 14 dias"
"38",38,4,549,15,534,3,"menor a 7 dias","mayor a 14 dias"
"39",39,3,198,489,291,15,"mayor a 14 dias","entre 7 y 14 dias"
"40",40,3,419,57,363,8,"menor a 7 dias","mayor a 14 dias"
"41",41,5,140,222,82,16,"entre 7 y 14 dias","menor a 7 dias"
"42",42,5,134,838,704,4,"mayor a 14 dias","menor a 7 dias"
"43",43,3,765,472,293,10,"mayor a 14 dias","mayor a 14 dias"
"44",44,1,240,415,175,10,"mayor a 14 dias","entre 7 y 14 dias"
"45",45,1,135,332,197,8,"entre 7 y 14 dias","menor a 7 dias"
"46",46,4,456,252,205,10,"entre 7 y 14 dias","mayor a 14 dias"
"47",47,5,135,168,34,2,"entre 7 y 14 dias","menor a 7 dias"
"48",48,2,253,85,169,4,"menor a 7 dias","entre 7 y 14 dias"
"49",49,1,139,34,105,10,"menor a 7 dias","menor a 7 dias"
"50",50,6,303,529,226,16,"mayor a 14 dias","entre 7 y 14 dias"
"51",51,1,339,62,277,9,"menor a 7 dias","mayor a 14 dias"
